87,792,1,9
119,542,2,1
139,204,3,10
71,802,2,5
193,716,3,9
125,155,2,8
131,565,1,10
177,716,1,9
118,244,3,3
155,294,4,8
157,873,4,1
86,968,3,9
64,788,1,2
79,603,2,10
153,199,1,4
138,471,1,8
119,630,4,6
140,865,1,7
176,600,1,2
66,675,1,5
149,716,2,3
77,256,2,10
119,196,4,3
108,356,1,4
62,740,1,9
98,377,4,6
150,118,1,9
80,248,1,4
142,294,3,10
165,113,3,6
99,425,1,2
181,112,1,2
72,915,4,8
66,928,2,2
51,188,1,10
132,733,2,5
100,745,2,10
85,707,4,4
62,387,3,9
135,924,2,5
104,105,4,5
181,216,1,2
89,721,1,1
87,622,3,2
153,116,1,9
78,540,1,10
126,101,2,8
84,645,4,4
158,652,3,4
127,300,1,6
144,666,2,10
182,350,4,8
58,169,3,1
62,400,4,3
121,115,4,6
138,276,4,9
128,407,2,3
198,800,3,1
76,769,4,2
171,153,3,2
129,464,1,1
51,981,1,2
79,612,2,7
122,338,3,9
192,395,2,7
189,864,2,10
150,756,2,1
133,589,2,2
71,612,1,7
131,697,4,3
187,533,1,9
138,969,1,5
80,701,3,6
76,850,4,6
98,912,3,10
192,930,1,5
73,211,3,5
199,888,3,1
182,300,1,5
120,657,4,3
79,170,1,8
169,468,4,3
88,173,2,9
106,851,1,2
122,673,4,3
146,715,3,10
152,343,1,7
63,466,3,6
184,570,1,8
184,277,4,2
179,124,4,4
180,252,4,9
58,220,2,8
91,952,2,1
167,248,3,7
171,600,1,7
62,476,2,4
74,502,4,2
189,412,1,9
79,566,4,5
109,975,1,3
196,195,2,3
130,590,1,2
171,692,1,6
185,172,4,6
196,210,4,5
147,629,3,4
189,937,2,7
74,221,4,9
189,518,2,7
110,297,3,10
196,783,2,10
155,506,2,1
99,743,2,10
108,580,2,8
95,962,3,7
179,963,3,6
139,482,4,9
131,615,2,1
71,353,1,4
160,762,1,5
124,758,4,2
94,956,4,10
82,112,4,6
121,633,2,6
50,876,1,8
152,950,3,3
197,765,2,4
85,967,4,10
73,954,3,5
165,610,3,10
64,420,4,9
108,944,3,3
89,514,4,3
112,777,3,1
58,894,4,9
67,839,2,7
118,415,3,10
148,267,3,6
138,118,2,8
67,942,2,6
86,280,3,6
144,886,4,1
138,141,1,2
89,460,4,4
149,814,1,10
106,391,1,2
115,176,4,8
99,410,2,8
113,486,3,4
119,497,4,3
119,898,3,4
104,581,4,3
131,744,2,1
169,725,4,6
65,895,3,6
177,322,2,6
60,533,1,2
114,945,3,4
180,383,3,9
104,747,4,1
105,314,2,6
191,265,3,3
117,865,1,9
153,372,1,6
114,845,4,7
192,679,2,10
77,561,4,5
103,687,3,4
158,378,3,2
130,714,1,5
83,690,2,7
83,815,3,10
85,814,2,1
67,168,3,7
118,508,3,2
94,102,1,8
190,604,3,9
103,777,4,3
158,109,4,6
111,758,4,10
113,841,2,10
187,839,2,8
93,286,2,3
193,506,1,10
79,596,2,2
114,510,4,9
74,151,3,8
60,754,2,9
188,352,2,5
144,971,4,7
70,128,2,4
164,683,2,6
114,163,4,10
195,153,1,9
73,483,2,10
85,371,2,5
161,840,4,10
142,943,4,4
61,357,3,1
193,791,2,6
171,824,4,2
88,586,4,10
59,318,3,2
140,940,1,6
92,661,1,3
123,369,3,8
55,520,4,5
127,691,3,6
51,465,1,6
90,665,1,8
91,496,2,4
199,289,1,1
154,272,1,4
110,943,1,7
117,737,2,9
129,309,3,2
65,326,2,10
64,102,2,3
122,431,3,3
193,765,3,4
140,711,3,7
189,879,2,7
95,474,3,2
72,526,1,3
80,957,3,8
84,111,1,1
185,741,2,8
108,815,3,3
188,530,2,10
54,784,3,5
168,739,4,7
75,413,3,2
162,593,2,3
157,608,3,4
107,417,4,4
90,484,3,6
180,966,1,1
123,824,4,1
80,374,2,4
74,369,3,1
132,197,3,7
195,865,2,5
131,299,1,8
109,967,1,10
89,237,3,7
140,580,2,3
116,617,4,3
67,742,3,4
122,426,2,6
144,619,2,3
161,195,4,2
90,652,1,3
178,646,3,3
76,742,2,10
177,423,4,5
162,918,3,7
183,156,3,3
56,160,4,2
67,178,3,4
198,846,4,7
59,532,3,6
189,894,2,4
133,352,4,7
92,200,1,10
146,144,1,1
147,235,2,4
126,660,2,7
90,784,2,1
158,272,4,4
59,900,4,3
92,845,2,4
187,679,1,2
51,445,2,3
81,951,4,5
91,317,4,7
124,217,2,5
63,635,1,10
106,509,1,1
127,938,2,9
160,757,4,2
65,253,1,4
169,806,3,7
79,306,3,10
174,590,1,4
68,147,3,3
116,774,2,6
80,696,1,10
89,297,3,2
50,518,2,10
149,392,4,5
73,328,3,2
112,878,4,6
171,446,1,8
95,640,3,1
179,451,4,6
140,311,4,6
163,264,3,10
181,553,2,9
184,686,2,10
155,145,2,1
170,456,1,5
112,792,1,3
64,176,1,2
61,160,1,10
171,203,4,2
169,388,4,7
147,996,3,5
156,747,2,7
83,601,2,4
182,271,1,8
150,767,3,4
128,411,3,4
116,951,4,7
111,838,1,8
167,952,2,8
128,526,2,2
150,377,4,7
59,310,4,8
182,946,1,9
59,815,1,5
136,703,4,10
114,291,2,10
90,517,2,9
149,712,4,7
98,270,2,3
123,379,1,5
124,899,1,4
135,308,1,5
124,472,3,7
81,584,3,8
82,311,2,7
164,667,4,9
112,900,4,10
56,539,3,7
62,911,1,5
130,866,1,4
90,632,2,10
138,532,1,4
95,217,4,1
68,843,3,6
168,521,2,8
138,490,3,9
165,132,1,7
158,773,1,5
151,540,3,5
103,437,4,10
77,348,2,1
109,101,3,7
142,582,3,8
159,735,2,10
123,266,3,5
68,719,1,8
53,295,4,4
162,131,1,1
161,172,3,8
110,629,4,7
116,308,4,7
65,468,4,5
149,965,2,5
166,560,3,5
140,728,1,2
147,197,4,3
111,315,1,9
182,628,4,7
92,516,3,10
176,226,1,2
95,468,4,8
187,763,1,3
164,152,3,8
140,331,4,6
109,428,4,2
126,587,1,7
56,134,3,7
103,692,3,9
137,233,1,5
172,819,3,4
168,443,2,5
152,576,2,10
176,634,3,6
164,341,2,3
200,978,1,1
131,286,1,8
172,689,4,10
77,596,1,10
113,287,1,9
86,891,3,7
180,830,1,10
52,104,1,7
147,456,2,7
92,252,2,10
197,446,1,10
66,362,3,10
60,139,1,9
97,313,1,2
158,574,2,2
156,102,4,2
130,362,3,3
68,184,2,8
130,978,4,6
135,831,2,2
161,963,2,10
51,137,2,8
152,431,3,9
107,855,1,1
121,537,4,10
124,711,4,9
178,635,4,8
135,662,3,10
